Products[1];Area[1,Country];Regions[2,Country];Country[3];Text[ATTR,3,Country];Pos;Day[DATE,dd.MM.yyyy];Units[MES];Cost of Sales[MES];column[MES,Turnover]
Desktop Pro XL;Europe;East;Slovakia;East;325;09.10.2010;902217;3772.03;4121.82
Desktop Pro;Europe;West;Belgium;West;326;24.12.2012;1355;5543.18;6787.46
Desktop Pro;Europe;West;Switzerland;West;327;13.07.2010;3512;17783.3;17402.2
Desktop Pro XL;Europe;West;Ireland;West;328;23.02.2011;741734;3429.17;3444.34
Desktop Pro XL;Europe;South;Spain;South;329;17.07.2010;1495;7031.72;7624.76
Desktop Pro XL;Europe;North;Sweden;North;330;24.12.2012;920762;3942.32;4519.63
Desktop Pro XL;Europe;West;Netherlands;West;331;23.02.2011;653421;2793.08;3060.73
Desktop L;Europe;West;Switzerland;West;332;13.01.2013;1801;8526.93;9797.22
Desktop L;Europe;South;Italy;South;333;29.11.2012;7079;31459.1;32426.9
Desktop Pro;Europe;West;Switzerland;West;334;19.08.2010;2367;9765.02;11941.3
Desktop Pro;Europe;West;Germany;West;335;13.07.2010;23782;101813.7681;12235.1328
Desktop Pro XL;Europe;North;Norway;North;336;24.12.2012;2028;9710.38;9560.02
Desktop L;Europe;West;Germany;West;337;13.01.2013;11271;46895.2803;55989.4104
Desktop L;Europe;East;Slovakia;East;338;01.05.2012;252763;1189.82;1339.93
Desktop Pro;Europe;North;Norway;North;339;09.08.2011;3660;17966.9;18644.8
Desktop Pro;Europe;West;Germany;West;340;19.08.2010;15782;595950;804068
Desktop L;Europe;South;Italy;South;341;17.07.2010;1979;8897.02;10510.8
Desktop Pro;Europe;North;Denmark;North;342;13.01.2013;2281;10692;10892
Desktop Pro;Europe;North;Finland;North;343;19.08.2010;556;2200.39;2583.54
Desktop L;Europe;North;Finland;North;344;13.01.2013;1237;5695.2;5622.14
Desktop L;Europe;West;Switzerland;West;345;23.02.2011;3988;18389.6;18887.2
Desktop L;Europe;South;Portugal;South;346;13.01.2013;1812;7315.61;9635.53
Desktop Pro;Europe;South;Portugal;South;347;13.07.2010;2533;12764.2;12717.6
Desktop Pro;Europe;West;Switzerland;West;348;29.11.2012;4795;21954.5;24666.1
Desktop Pro XL;Europe;South;Italy;South;349;19.08.2010;6158;30756.7;30623.9
Desktop L;Europe;West;Germany;West;350;23.02.2011;985467;44260.227;43235.3691
Desktop Pro;Europe;North;Denmark;North;351;23.02.2011;6030;26316.7;28398.4
Desktop L;Europe;South;Portugal;South;352;23.02.2011;1874;8739.06;10018.6
Desktop Pro;Europe;West;Germany;West;353;29.11.2012;11836;48186.7254;57893.418
Desktop Pro;Europe;East;Slovakia;East;354;23.04.2011;498466;2529.9;2702.71
Desktop Pro;Europe;West;Switzerland;West;355;17.07.2010;2887;12666.8;13268.7
Desktop Pro;Europe;South;Italy;South;356;09.10.2010;6380;29914.7;34339.2
Desktop Pro;Europe;South;Spain;South;357;01.05.2012;10661;47256.2;48567.2
Desktop Pro;Europe;West;Ireland;West;358;24.12.2012;921805;4291.78;4570.66
Desktop Pro XL;Europe;West;Switzerland;West;359;13.01.2013;3180;13803.1;16322.8
Desktop Pro;Europe;North;Sweden;North;360;13.07.2010;1776;7741.21;9170.84
Desktop Pro XL;Europe;South;Italy;South;361;29.11.2012;8154;35965;42327.6
Desktop Pro;Europe;West;Netherlands;West;362;24.12.2012;919;4038.07;4517.39
Desktop Pro;Europe;West;Germany;West;363;17.07.2010;31424;12578.7123;14662.8405
Desktop L;Europe;North;Sweden;North;364;13.01.2013;669;3038.67;3126.1
Desktop Pro;Europe;North;Sweden;North;365;19.08.2010;793041;3158.75;4127.12
Desktop Pro XL;Europe;West;Germany;West;366;13.01.2013;4088;17824.6431;18926.4933
Desktop Pro;Europe;South;Portugal;South;367;17.07.2010;724839;2890.8;3680.55
Desktop Pro XL;Europe;East;Slovakia;East;368;01.05.2012;750231;3307.14;3569.56
Desktop Pro;Europe;North;Norway;North;369;13.07.2010;1182;6098.14;5604.72
Desktop L;Europe;West;France;West;370;13.05.2010;3088;14279.9;16746.1
Desktop Pro;Europe;East;Austria;East;371;13.01.2013;3645;15227.2;18384.2
Desktop Pro XL;Europe;North;Finland;North;372;13.01.2013;903102;3638.51;4659.93
Desktop Pro XL;Europe;West;Switzerland;West;373;23.02.2011;2380;10136;12294.1
Desktop Pro;Europe;East;Slovakia;East;374;13.05.2010;318433;1582.06;1613.85
Desktop Pro XL;Europe;South;Portugal;South;375;13.01.2013;2282;11139.5;11849.5
Desktop Pro XL;Europe;South;Spain;South;376;24.12.2012;1378;5983;7514.5
Desktop L;Europe;North;Norway;North;377;13.01.2013;848543;3582.51;4498.27
Desktop L;Europe;North;Sweden;North;378;23.02.2011;592165;2751.9;2714.33
Desktop Pro;Europe;South;Spain;South;379;09.08.2011;1427;6773.71;7102.33
Desktop Pro;Europe;North;Norway;North;380;19.08.2010;3501;14270;18145.2
Desktop Pro XL;Europe;West;United Kingdom;West;381;09.10.2010;6529;26745.6;30364.9
Desktop Pro;Europe;West;Luxembourg;West;382;13.01.2013;267684;1117.42;1465.15
Desktop Pro XL;Europe;North;Finland;North;383;23.02.2011;1795;7234.66;9355.73
Desktop Pro;Europe;East;Poland;East;384;13.01.2013;1535;6604.73;7279.87
Desktop Pro;Europe;North;Sweden;North;385;29.11.2012;1634;7739.6;7510.92
Desktop Pro XL;Europe;South;Portugal;South;386;23.02.2011;754301;3336.34;3778.55
Desktop Pro XL;Europe;South;Italy;South;387;17.07.2010;4945;21389.2;22439.1
Desktop L;Europe;East;Slovakia;East;388;13.07.2010;962638;4027.21;5219.67
Desktop L;Europe;South;Italy;South;389;24.12.2012;2777;12953;13469.3
Desktop Pro;Europe;West;Luxembourg;West;390;23.02.2011;2188;9731.27;9944.82
Desktop Pro XL;Europe;East;Slovakia;East;391;09.08.2011;746;3627.33;3463.47
Desktop Pro;Europe;North;Norway;North;392;29.11.2012;1670;7283.93;7897.79
Desktop L;Europe;West;United Kingdom;West;393;01.05.2012;13986;61702.8;65389.2
Desktop Pro;Europe;West;Belgium;West;394;13.01.2013;1608;6704.25;7713.84
Desktop L;Europe;East;Slovakia;East;395;19.08.2010;294;1180.77;1487.83
Desktop Pro;Europe;East;Czech Republic;East;396;13.01.2013;3898;17846.3;20273
Desktop Pro XL;Europe;North;Sweden;North;397;13.01.2013;2282;9841.92;10473.6
Desktop Pro;Europe;North;Norway;North;398;17.07.2010;727632;3110.84;3888.15
Desktop Pro XL;Europe;West;France;West;399;13.05.2010;1834;8759.75;9749.54
Desktop L;Europe;North;Denmark;North;400;13.05.2010;1370;6805.93;7450.21
Desktop Pro;Europe;South;Italy;South;401;01.05.2012;3652;14988.3;19004.4
Desktop Pro;Europe;West;Belgium;West;402;23.02.2011;4336;20114.4;23645.5
Desktop Pro;Europe;West;Switzerland;West;403;24.12.2012;2097;10053.7;11457.1
Desktop Pro XL;Europe;North;Norway;North;404;13.01.2013;1221;5444.56;6285.71
Desktop Pro;Europe;East;Czech Republic;East;405;23.02.2011;3127;14860.7;15749.2
Desktop Pro XL;Europe;North;Sweden;North;406;23.02.2011;608804;2684.74;3157.83
Desktop Pro;Europe;South;Spain;South;407;13.07.2010;1645;6888.42;7689.7
Desktop Pro;Europe;West;United Kingdom;West;408;23.04.2011;9579;45935.6;51197.6
Desktop L;Europe;East;Slovakia;East;409;29.11.2012;1014;4668.84;4994.99
Desktop L;Europe;West;United Kingdom;West;410;09.08.2011;8631;33637.6;47371.3
Desktop Pro;Europe;West;Germany;West;411;24.12.2012;56164;22993.7994;29125.9584
Desktop L;Europe;East;Austria;East;412;23.04.2011;1728;7916.48;9341.28
Desktop Pro;Europe;North;Finland;North;413;24.12.2012;584171;2612.37;2635.12
Desktop Pro XL;Europe;North;Denmark;North;414;23.04.2011;3918;18896.8;18208
Desktop Pro;Europe;South;Spain;South;415;19.08.2010;10662;41895.5;56940.9
Desktop L;Europe;South;Spain;South;416;13.01.2013;7166;28458.1;35114.2
Desktop Pro XL;Europe;North;Norway;North;417;23.02.2011;3400;15838.6;17052.3
Desktop Pro;Europe;South;Portugal;South;418;24.12.2012;1609;6606.57;8459.51
Desktop Pro XL;Europe;East;Slovakia;East;419;13.07.2010;462701;2179.96;2403.97
Desktop L;Europe;East;Slovakia;East;420;17.07.2010;310071;1384.33;1438.66
Desktop Pro XL;Europe;South;Italy;South;421;24.12.2012;2002;8950.92;9698.4
Desktop Pro;Europe;South;Italy;South;422;09.08.2011;7199;31073;35447.5
Desktop L;Europe;South;Spain;South;423;23.02.2011;10914;43436.8;54257.4
Desktop L;Europe;East;Poland;East;424;23.04.2011;1410;6341.7;7164.53
Desktop Pro XL;Europe;West;United Kingdom;West;425;01.05.2012;5020;21915.5;22924
Desktop Pro XL;Europe;East;Slovakia;East;426;19.08.2010;397084;1793.69;2117.26
Desktop Pro;Europe;West;United Kingdom;West;427;13.05.2010;4587;21777;20892.5
Desktop Pro;Europe;West;Ireland;West;428;13.01.2013;462511;2282.7;2338.28
Desktop Pro;Europe;South;Spain;South;429;29.11.2012;4022;17145.1;18351.6
Desktop L;Europe;East;Austria;East;430;13.05.2010;2006;8548.49;10699
Desktop Pro;Europe;West;Netherlands;West;431;13.01.2013;2158;8529.61;10010
Desktop Pro XL;Europe;North;Denmark;North;432;13.05.2010;6175;27369.2;31303.8
Desktop L;Europe;West;France;West;433;09.10.2010;5393;23339.8;27306.9
Desktop L;Europe;West;Belgium;West;434;23.04.2011;4988;21599.1;26879.4
Desktop Pro;Europe;East;Slovakia;East;435;09.10.2010;505798;2339.33;2741.97
Desktop Pro;Europe;West;Ireland;West;436;23.02.2011;1595;7417.41;8568.81
Desktop Pro;Europe;South;Spain;South;437;17.07.2010;2359;11447.1;12445.7
Desktop L;Europe;East;Czech Republic;East;438;23.04.2011;2836;13167.5;14462
Desktop L;Europe;West;Luxembourg;West;439;13.05.2010;640252;3037.26;3029.61
Desktop Pro;Europe;North;Sweden;North;440;24.12.2012;957981;4569.63;4571.86
Desktop L;Europe;East;Poland;East;441;13.05.2010;4312;19602.7;21865.4
Desktop L;Europe;West;United Kingdom;West;442;13.07.2010;6140;25359.8;31794.5
Desktop Pro XL;Europe;West;United Kingdom;West;443;09.08.2011;4138;20225.5;22614.5
Desktop Pro;Europe;West;Netherlands;West;444;23.02.2011;1823;9282.16;9524.56
Desktop Pro XL;Europe;East;Austria;East;445;23.04.2011;3928;17629;17777.8
Desktop Pro XL;Europe;South;Spain;South;446;13.01.2013;1879;8358.43;10125.9
Desktop L;Europe;West;United Kingdom;West;447;19.08.2010;9544;48321.7;46155.8
Desktop Pro XL;Europe;East;Slovakia;East;448;17.07.2010;495811;2195.44;2469.53
Desktop Pro XL;Europe;West;Luxembourg;West;449;23.04.2011;564821;2484.37;2577.97
Desktop Pro;Europe;South;Italy;South;450;13.07.2010;1697;7432.28;7984.35
Desktop Pro XL;Europe;South;Spain;South;451;23.02.2011;1785;8974.27;9265.12
Desktop Pro XL;Europe;East;Poland;East;452;23.04.2011;2263;10888.4;11161.6
Desktop L;Europe;West;Belgium;West;453;13.05.2010;6738;30201.7;35721.6
Desktop L;Europe;East;Czech Republic;East;454;13.05.2010;2151;9731.16;10276.5
Desktop L;Europe;South;Italy;South;455;13.01.2013;7438;30737.9;34762.9
Desktop Pro;Europe;South;Italy;South;456;19.08.2010;4175;21071.7;21929.6
Desktop Pro XL;Europe;East;Austria;East;457;13.05.2010;2824;12049.3;13791.5
Desktop L;Europe;West;United Kingdom;West;458;29.11.2012;8277;36467.2;41615.2
Desktop L;Europe;North;Denmark;North;459;09.10.2010;3815;18285.8;17382.8
Desktop Pro XL;Europe;West;Belgium;West;460;23.04.2011;3278;15158.1;18024.5
Desktop L;Europe;South;Italy;South;461;23.02.2011;4581;22722.4;23618
Desktop L;Europe;East;Slovakia;East;462;24.12.2012;723308;3208.39;3591.49
Desktop L;Europe;West;Ireland;West;463;23.04.2011;535521;2452.77;2501.67
Desktop Pro XL;Europe;East;Poland;East;464;13.05.2010;2921;12472;13646.3
Desktop Pro XL;Europe;West;United Kingdom;West;465;13.07.2010;4674;21796.8;22976.6
Desktop L;Europe;West;United Kingdom;West;466;17.07.2010;2902;14849.8;14402
Desktop Pro;Europe;West;Switzerland;West;467;13.01.2013;2101;10640.8;10915.7
Desktop L;Europe;West;Netherlands;West;468;23.04.2011;990002;4826.91;4881.71
Desktop Pro;Europe;South;Italy;South;469;29.11.2012;5459;26269.8;25076.8
Desktop L;Europe;West;France;West;470;01.05.2012;5479;26847.7;30042.2
Desktop Pro XL;Europe;West;United Kingdom;West;471;19.08.2010;12875;60279.6;66720.6
Desktop Pro;Europe;West;Germany;West;472;13.01.2013;21454;843613;108356.6979
Desktop Pro;Europe;East;Slovakia;East;473;01.05.2012;276828;1278.04;1435.04
Desktop Pro;Europe;North;Finland;North;474;13.01.2013;971225;4731.16;5078.24
Desktop Pro;Europe;West;Switzerland;West;475;23.02.2011;2885;13849.4;13319.3
Desktop Pro;Europe;South;Italy;South;476;17.07.2010;4542;19512.2;24944.3
Desktop Pro XL;Europe;West;Belgium;West;477;13.05.2010;2271;9136.51;10435.3
Desktop Pro;Europe;South;Portugal;South;478;13.01.2013;2549;12384.6;12822
Desktop Pro XL;Europe;East;Czech Republic;East;479;13.05.2010;1897;9150.34;9202.53
Desktop L;Europe;West;Ireland;West;480;13.05.2010;642295;2786.08;2925.35
Desktop Pro;Europe;West;Germany;West;481;23.02.2011;39926;16122.5361;19851.4899
Desktop L;Europe;West;Netherlands;West;482;13.05.2010;4033;19002;21832.9
Desktop Pro;Europe;North;Finland;North;483;23.02.2011;1210;5496.82;6157.87
Desktop L;Europe;East;Austria;East;484;09.10.2010;4943;24000.6;23228.7
Desktop Pro XL;Europe;West;United Kingdom;West;485;29.11.2012;8197;35773.1;37251.5
Desktop Pro;Europe;West;France;West;486;23.04.2011;5190;23719.7;25135.2
Desktop Pro XL;Europe;North;Denmark;North;487;09.10.2010;1543;7288.41;8108.5
Desktop Pro;Europe;South;Portugal;South;488;23.02.2011;2720;12457.2;12554.7
Desktop L;Europe;West;France;West;489;09.08.2011;3260;14897.7;17798.7
Desktop Pro XL;Europe;East;Slovakia;East;490;24.12.2012;816464;3534.64;4152.83
Desktop Pro XL;Europe;South;Italy;South;491;23.02.2011;2269;10723.9;10544.6
Desktop Pro XL;Europe;West;Ireland;West;492;23.04.2011;1736;8457.86;7933.14
Desktop Pro;Europe;East;Slovakia;East;493;09.08.2011;652484;2980.76;3488.15
Desktop L;Europe;West;Luxembourg;West;494;09.10.2010;661586;2865.2;3500.24
Desktop Pro XL;Europe;West;United Kingdom;West;495;17.07.2010;4419;18532.1;23897.4
Desktop Pro XL;Europe;West;Netherlands;West;496;23.04.2011;1656;7981.58;8539.29
Desktop Pro XL;Europe;West;France;West;497;01.05.2012;4721;21698;25456.3
Desktop L;Europe;North;Denmark;North;498;01.05.2012;4986;24277.7;27188.2
Desktop Pro;Europe;West;France;West;499;13.05.2010;9463;40880.1;51366.5
Desktop L;Europe;West;Switzerland;West;500;23.04.2011;977446;4209.69;4821.11
Desktop Pro;Europe;North;Norway;North;501;13.01.2013;1538;7211.35;7811.17
Desktop Pro XL;Europe;West;Ireland;West;502;13.05.2010;976261;4442.51;5062.38
Desktop Pro;Europe;North;Sweden;North;503;23.02.2011;2366;10575.9;10799
Desktop L;Europe;East;Czech Republic;East;504;09.10.2010;2073;9572.8;10639.2
Desktop L;Europe;West;United Kingdom;West;505;24.12.2012;8752;40786.7;40153.1
Desktop Pro XL;Europe;West;Netherlands;West;506;13.05.2010;2848;13400.8;14549.9
Desktop Pro XL;Europe;East;Austria;East;507;09.10.2010;4199;18905.3;22398
Desktop L;Europe;North;Finland;North;508;23.04.2011;1092;4579.35;5922.88
Desktop Pro;Europe;North;Denmark;North;509;23.04.2011;5251;23165.6;27331.9
Desktop L;Europe;West;France;West;510;13.07.2010;5782;28583.4;26818.9
Desktop Pro;Europe;North;Norway;North;511;23.02.2011;1192;5623.22;6350.59
Desktop L;Europe;North;Denmark;North;512;09.08.2011;9720;42244;47190
Desktop Pro XL;Europe;West;France;West;513;09.08.2011;2219;10735.5;10119.4
Desktop Pro;Europe;East;Slovakia;East;514;13.07.2010;975;3815.27;5067.93
Desktop Pro;Europe;South;Italy;South;515;24.12.2012;7080;33354;37184.1
Desktop L;Europe;West;Switzerland;West;516;13.05.2010;2253;9158.84;11392.8
Desktop Pro XL;Europe;East;Poland;East;517;09.10.2010;1232;5291.22;5798.51
Desktop L;Europe;West;France;West;518;19.08.2010;5419;27735;24452.7
Desktop Pro;Europe;West;United Kingdom;West;519;01.05.2012;3619;15097.5;19531.4
Desktop L;Europe;East;Slovakia;East;520;13.01.2013;305634;1339.79;1576.21
Desktop Pro;Europe;East;Slovakia;East;521;19.08.2010;406107;1790.34;2123.42
Desktop L;Europe;East;Austria;East;522;01.05.2012;4313;19860.1;23284
Desktop Pro XL;Europe;North;Denmark;North;523;01.05.2012;2267;11226.8;11648.2
Desktop L;Europe;West;Germany;West;524;13.05.2010;34736;15550.8111;18236.5029
Desktop L;Europe;North;Finland;North;525;13.05.2010;2241;11291.4;12068.9
Desktop Pro;Europe;North;Denmark;North;526;13.05.2010;3678;15696.4;19818.8
Desktop L;Europe;East;Slovakia;East;527;23.02.2011;494;2235.95;2332.71
Desktop L;Europe;South;Portugal;South;528;13.05.2010;695974;2875.78;3451.45
Desktop L;Europe;West;Luxembourg;West;529;01.05.2012;2076;9335.61;9671.14
Desktop Pro XL;Europe;West;Belgium;West;530;09.10.2010;1287;5940.25;5975.19
Desktop L;Europe;West;France;West;531;29.11.2012;8619;40796.1;46133.1
Desktop Pro XL;Europe;East;Czech Republic;East;532;09.10.2010;938002;3614.26;4669.17
Desktop L;Europe;North;Sweden;North;533;23.04.2011;1868;7883.03;8704.63
Desktop Pro XL;Europe;West;United Kingdom;West;534;24.12.2012;5093;22691.7;26782.5
Desktop Pro;Europe;East;Slovakia;East;535;29.11.2012;1080;4818.76;5831.39
Desktop Pro;Europe;West;United Kingdom;West;536;09.08.2011;5216;24549;24675.4
Desktop L;Europe;West;Netherlands;West;537;09.10.2010;3200;15803.6;16756
Desktop Pro;Europe;East;Austria;East;538;23.04.2011;2554;11217;12479.9
Desktop Pro;Europe;South;Spain;South;539;13.01.2013;6689;27172.3;33169.8
Desktop Pro XL;Europe;North;Finland;North;540;23.04.2011;451178;2221.13;2160.25
Desktop L;Europe;East;Austria;East;541;09.08.2011;1481;6445.44;7613.69
Desktop L;Europe;West;France;West;542;17.07.2010;2389;11208.8;13084.7
Desktop L;Europe;North;Denmark;North;543;13.07.2010;1361;6233.62;6525.57
Desktop Pro XL;Europe;West;France;West;544;13.07.2010;6268;26725.8;28389.1
Desktop L;Europe;North;Norway;North;545;23.04.2011;513939;2245.32;2528.31
Desktop Pro XL;Europe;North;Denmark;North;546;09.08.2011;5725;25682.8;26199.6
Desktop L;Europe;West;Belgium;West;547;01.05.2012;1620;7395.28;8044.94
Desktop Pro;Europe;East;Slovakia;East;548;17.07.2010;1209;5930.68;5455.27
Desktop Pro;Europe;West;Luxembourg;West;549;23.04.2011;785635;3672.06;4038.71
Desktop Pro XL;Europe;West;Switzerland;West;550;13.05.2010;945365;3958.67;4298.49
Desktop Pro;Europe;South;Spain;South;551;23.02.2011;9248;40666.9;47096.4
Desktop Pro;Europe;East;Poland;East;552;23.04.2011;4735;21976;23684.9
Desktop L;Europe;North;Denmark;North;553;19.08.2010;5894;29009.8;28622.4
Desktop Pro XL;Europe;West;France;West;554;19.08.2010;2443;9444.85;11991.6
Desktop Pro XL;Europe;East;Slovakia;East;555;13.01.2013;745868;3663.57;3596.03
Desktop L;Europe;East;Poland;East;556;09.08.2011;5662;26396.7;30471.4
Desktop Pro XL;Europe;East;Austria;East;557;01.05.2012;10537;47117.3;55064.5
Desktop L;Europe;North;Sweden;North;558;13.05.2010;3072;13139.1;16704.1
Desktop Pro XL;Europe;West;Germany;West;559;13.05.2010;20635;953937;106172.4906
Desktop Pro XL;Europe;South;Portugal;South;560;23.04.2011;2093;9415.6;9988.2
Desktop Pro XL;Europe;North;Finland;North;561;13.05.2010;1028;4162.47;5086.97
Desktop Pro;Europe;East;Austria;East;562;13.05.2010;1667;6971.2;8654.74
Desktop Pro;Europe;West;France;West;563;09.10.2010;4451;20527.9;21362.6
Desktop Pro XL;Europe;East;Slovakia;East;564;23.02.2011;614173;2838.16;2841.69
Desktop Pro XL;Europe;West;Luxembourg;West;565;01.05.2012;454844;2101.75;2356.32
Desktop Pro;Europe;West;Belgium;West;566;23.04.2011;5241;22929.9;25768.9
Desktop L;Europe;North;Norway;North;567;13.05.2010;1070;4704.03;5195.49
Desktop Pro XL;Europe;East;Poland;East;568;01.05.2012;2941;11973.7;16081.5
Desktop Pro XL;Europe;West;France;West;569;29.11.2012;1741;8316.1;8583.6
Desktop Pro XL;Europe;West;Ireland;West;570;09.10.2010;417617;1867;2230.92
Desktop L;Europe;West;Belgium;West;571;09.08.2011;3914;17446.3;20751.6
Desktop L;Europe;North;Denmark;North;572;29.11.2012;2856;11056.7;15295.6
Desktop Pro;Europe;West;Luxembourg;West;573;13.05.2010;559349;2654.97;2847.74
Desktop Pro;Europe;East;Czech Republic;East;574;23.04.2011;1111;5299.73;5383.19
Desktop Pro XL;Europe;North;Sweden;North;575;23.04.2011;975031;4103.28;5193.21
Desktop L;Europe;East;Czech Republic;East;576;09.08.2011;5590;22667.1;30703.5
Desktop Pro;Europe;West;United Kingdom;West;577;13.07.2010;7265;34446.8;34889.3
Desktop Pro XL;Europe;West;Netherlands;West;578;09.10.2010;722929;3352.02;3600.6
Desktop Pro;Europe;East;Poland;East;579;13.05.2010;4973;20497.6;22494.5
Desktop L;Europe;East;Austria;East;580;13.07.2010;2862;12708.1;15572.1
Desktop Pro XL;Europe;West;France;West;581;17.07.2010;2570;12025.5;11938.6
Desktop Pro XL;Europe;North;Denmark;North;582;13.07.2010;2385;11044.1;12608.2
Desktop L;Europe;West;United Kingdom;West;583;13.01.2013;2231;9693.95;10546.6
Desktop Pro XL;Europe;North;Norway;North;584;23.04.2011;1144;5071.94;6068.81
Desktop Pro;Europe;West;United Kingdom;West;585;19.08.2010;12194;55878.5;61707.9
Desktop Pro XL;Europe;East;Austria;East;586;09.08.2011;1170;5254.74;6301.93
Desktop L;Europe;West;Ireland;West;587;01.05.2012;1178;5533.5;5721.58
Desktop L;Europe;West;Switzerland;West;588;09.10.2010;2613;11633.4;14129
Desktop Pro;Europe;West;Belgium;West;589;13.05.2010;1934;8699.14;9869.25
Desktop L;Europe;West;Luxembourg;West;590;13.07.2010;1134;5184.78;5758.31
Desktop Pro XL;Europe;North;Denmark;North;591;19.08.2010;1252;5677.28;6541.63
Desktop L;Europe;East;Austria;East;592;19.08.2010;5849;27280.3;31321.9
Desktop L;Europe;East;Poland;East;593;13.07.2010;4151;20129.1;19376.7
