"VBELN";"ERDAT";"ERNAM";"VKORG";"KUNNR";"POSNR";"ARKTX";"NETWR";"WAERK";"KWMENG"
"10658";"2007-12-05 00:00:00.000000000";"MMUELLER";"1000";"1002";"10";"Gluehlampe 80 Watt klar 220/235V";"31.46E0";"EUR";"80.0E0"
"10659";"2007-12-05 00:00:00.000000000";"MMUELLER";"1000";"1174";"10";"Flatscreen LE 64P";"1100.0E0";"EUR";"1.0E0"
"10660";"2007-12-05 00:00:00.000000000";"MMUELLER";"1000";"1174";"10";"Flatscreen LE 64P";"48400.0E0";"EUR";"44.0E0"
"10661";"2007-12-05 00:00:00.000000000";"MMUELLER";"1000";"1175";"10";"Flatscreen MS 1575P";"55000.0E0";"EUR";"44.0E0"
"10662";"2007-12-05 00:00:00.000000000";"MMUELLER";"1000";"1175";"10";"Flatscreen MS 1575P";"1250.0E0";"EUR";"1.0E0"
"10663";"2007-12-06 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";"SIM-Modul M8M x 32, 128MB  DDR-RAM";"7971.2E0";"EUR";"106.0E0"
"10663";"2007-12-06 00:00:00.000000000";"MAASSBERG";"1000";"1460";"20";"Tastatur Standard - Modell EURO-Special";"18463.5E0";"EUR";"330.0E0"
"10663";"2007-12-06 00:00:00.000000000";"MAASSBERG";"1000";"1460";"30";"Festplatte 21.49 GB / SCSI-2-Fast";"43258.6E0";"EUR";"154.0E0"
"10663";"2007-12-06 00:00:00.000000000";"MAASSBERG";"1000";"1460";"40";"Prozessor  700  MHz";"16566.0E0";"EUR";"60.0E0"
"10665";"2007-12-07 00:00:00.000000000";"MAASSBERG";"1000";"1901";"10";"Deluxe Taillight";"14312.13E0";"USD";"399.0E0"
"10665";"2007-12-07 00:00:00.000000000";"MAASSBERG";"1000";"1901";"20";"Deluxe Gas Tank Striping Decals";"19398.61E0";"USD";"649.0E0"
"10666";"2007-12-07 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";"MAG PA/DX 175";"10424.4E0";"EUR";"12.0E0"
"10666";"2007-12-07 00:00:00.000000000";"MAASSBERG";"1000";"2130";"20";"Flatscreen MS 1460 P";"9449.0E0";"EUR";"11.0E0"
"10666";"2007-12-07 00:00:00.000000000";"MAASSBERG";"1000";"2130";"30";"Flatscreen MS 1775P";"13937.0E0";"EUR";"11.0E0"
"10666";"2007-12-07 00:00:00.000000000";"MAASSBERG";"1000";"2130";"40";"Jotachi SN4500";"11502.4E0";"EUR";"16.0E0"
"10667";"2007-12-07 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";"Sunny Xa1";"5884.2E0";"EUR";"6.0E0"
"10668";"2007-12-07 00:00:00.000000000";"MAASSBERG";"1000";"2140";"10";"MAG PA/DX 175";"34339.2E0";"EUR";"42.0E0"
"10668";"2007-12-07 00:00:00.000000000";"MAASSBERG";"1000";"2140";"20";"Jotachi SN4500";"27896.4E0";"EUR";"42.0E0"
"10668";"2007-12-07 00:00:00.000000000";"MAASSBERG";"1000";"2140";"30";"Flatscreen MS 1460 P";"57400.0E0";"EUR";"41.0E0"
"10668";"2007-12-07 00:00:00.000000000";"MAASSBERG";"1000";"2140";"40";"Flatscreen MS 1775P";"44455.5E0";"EUR";"37.0E0"
"10669";"2007-12-07 00:00:00.000000000";"MAASSBERG";"1000";"2200";"10";"Sunny Xa1";"36681.4E0";"EUR";"38.0E0"
"10675";"2007-12-08 00:00:00.000000000";"MAASSBERG";"1000";"1360";"10";"Festplatte 42.94 GB / SCSI-2-Fast";"24816.0E0";"EUR";"80.0E0"
"10675";"2007-12-08 00:00:00.000000000";"MAASSBERG";"1000";"1360";"20";"SIM-Modul 256 MB 16M x 32, 70 ns";"10215.0E0";"EUR";"75.0E0"
"10675";"2007-12-08 00:00:00.000000000";"MAASSBERG";"1000";"1360";"30";"Tastatur Professional - Modell PROFITEC";"17420.0E0";"EUR";"268.0E0"
"10675";"2007-12-08 00:00:00.000000000";"MAASSBERG";"1000";"1360";"40";"Prozessor  500 MHz";"26014.8E0";"EUR";"163.0E0"
"10677";"2007-12-09 00:00:00.000000000";"MAASSBERG";"1000";"2300";"10";"SunFun / 1200 cm3";"825000.0E0";"EUR";"55.0E0"
"10678";"2007-12-09 00:00:00.000000000";"MAASSBERG";"1000";"1360";"10";"Flatscreen LE 64P";"11468.8E0";"EUR";"16.0E0"
"10678";"2007-12-09 00:00:00.000000000";"MAASSBERG";"1000";"1360";"20";"Flatscreen MS 1785P";"18839.8E0";"EUR";"14.0E0"
"10678";"2007-12-09 00:00:00.000000000";"MAASSBERG";"1000";"1360";"30";"SEC Multisync XV15";"10952.0E0";"EUR";"10.0E0"
"10678";"2007-12-09 00:00:00.000000000";"MAASSBERG";"1000";"1360";"40";"Sunny Tetral3";"5669.4E0";"EUR";"6.0E0"
"10679";"2007-12-09 00:00:00.000000000";"MAASSBERG";"1000";"2007";"10";"Jotachi SN5000";"13817.6E0";"EUR";"16.0E0"
"10680";"2007-12-09 00:00:00.000000000";"MAASSBERG";"1000";"2140";"10";"SEC Multisync XV15";"36344.0E0";"EUR";"35.0E0"
"10680";"2007-12-09 00:00:00.000000000";"MAASSBERG";"1000";"2140";"20";"Flatscreen LE 64P";"28600.0E0";"EUR";"26.0E0"
"10680";"2007-12-09 00:00:00.000000000";"MAASSBERG";"1000";"2140";"30";"Sunny Tetral3";"39802.5E0";"EUR";"45.0E0"
"10680";"2007-12-09 00:00:00.000000000";"MAASSBERG";"1000";"2140";"40";"Jotachi SN5000";"33184.8E0";"EUR";"44.0E0"
"10681";"2007-12-09 00:00:00.000000000";"MAASSBERG";"1000";"2004";"10";"Flatscreen MS 1785P";"57367.2E0";"EUR";"44.0E0"
"10686";"2007-12-09 00:00:00.000000000";"KAKATI";"1000";"1900";"10";"CrossFun / 350 cm3";"308000.0E0";"EUR";"44.0E0"
"10687";"2007-12-09 00:00:00.000000000";"KAKATI";"1000";"2130";"10";"Jotachi SN 7000";"11566.1E0";"EUR";"13.0E0"
"10687";"2007-12-09 00:00:00.000000000";"KAKATI";"1000";"2130";"20";"Flatscreen MS 1575P";"8990.4E0";"EUR";"8.0E0"
"10687";"2007-12-09 00:00:00.000000000";"KAKATI";"1000";"2130";"30";"SEC Multisync XV 17";"12956.0E0";"EUR";"10.0E0"
"10687";"2007-12-09 00:00:00.000000000";"KAKATI";"1000";"2130";"40";"Sunny Extrem";"1016.5E0";"EUR";"1.0E0"
"10688";"2007-12-09 00:00:00.000000000";"KAKATI";"1000";"2007";"10";"MAG DX 15F/Fe";"9448.8E0";"EUR";"12.0E0"
"10689";"2007-12-09 00:00:00.000000000";"KAKATI";"1000";"2200";"10";"Jotachi SN 7000";"41697.6E0";"EUR";"51.0E0"
"10689";"2007-12-09 00:00:00.000000000";"KAKATI";"1000";"2200";"20";"MAG DX 15F/Fe";"30647.5E0";"EUR";"41.0E0"
"10689";"2007-12-09 00:00:00.000000000";"KAKATI";"1000";"2200";"30";"Sunny Extrem";"56651.8E0";"EUR";"59.0E0"
"10689";"2007-12-09 00:00:00.000000000";"KAKATI";"1000";"2200";"40";"Flatscreen MS 1575P";"42500.0E0";"EUR";"34.0E0"
"10690";"2007-12-09 00:00:00.000000000";"KAKATI";"1000";"2004";"10";"SEC Multisync XV 17";"53746.0E0";"EUR";"44.0E0"
"10692";"2007-12-09 00:00:00.000000000";"SCHULZET";"1000";"1250";"10";"Vanilla Ice Cream - Premium Brand";"500.0E0";"EUR";"100.0E0"
"10694";"2007-12-10 00:00:00.000000000";"MAASSBERG";"1000";"2007";"10";"SIM-Modul 8M x 36, 70 ns";"4976.4E0";"EUR";"52.0E0"
"10694";"2007-12-10 00:00:00.000000000";"MAASSBERG";"1000";"2007";"20";"Tastatur Professional - Modell MAXITEC";"18143.6E0";"EUR";"268.0E0"
"10694";"2007-12-10 00:00:00.000000000";"MAASSBERG";"1000";"2007";"30";"Festplatte 21.13 GB /  ATA-2";"72428.4E0";"EUR";"279.0E0"
"10696";"2007-12-13 00:00:00.000000000";"MAASSBERG";"1000";"1900";"10";"CrossFun / 350 cm3";"357000.0E0";"EUR";"51.0E0"
"10697";"2007-12-13 00:00:00.000000000";"MAASSBERG";"1000";"2007";"10";"Jotachi SN 7000";"9786.7E0";"EUR";"11.0E0"
"10697";"2007-12-13 00:00:00.000000000";"MAASSBERG";"1000";"2007";"20";"MAG DX 15F/Fe";"8661.4E0";"EUR";"11.0E0"
"10697";"2007-12-13 00:00:00.000000000";"MAASSBERG";"1000";"2007";"30";"Flatscreen MS 1575P";"7866.6E0";"EUR";"7.0E0"
"10697";"2007-12-13 00:00:00.000000000";"MAASSBERG";"1000";"2007";"40";"Sunny Extrem";"1016.5E0";"EUR";"1.0E0"
"10698";"2007-12-13 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";"SEC Multisync XV 17";"10364.8E0";"EUR";"8.0E0"
"10699";"2007-12-13 00:00:00.000000000";"MAASSBERG";"1000";"2200";"10";"Flatscreen MS 1575P";"36250.0E0";"EUR";"29.0E0"
"10699";"2007-12-13 00:00:00.000000000";"MAASSBERG";"1000";"2200";"20";"Jotachi SN 7000";"35974.4E0";"EUR";"44.0E0"
"10699";"2007-12-13 00:00:00.000000000";"MAASSBERG";"1000";"2200";"30";"Sunny Extrem";"48970.2E0";"EUR";"51.0E0"
"10699";"2007-12-13 00:00:00.000000000";"MAASSBERG";"1000";"2200";"40";"MAG DX 15F/Fe";"26162.5E0";"EUR";"35.0E0"
"10700";"2007-12-13 00:00:00.000000000";"MAASSBERG";"1000";"1033";"10";"SEC Multisync XV 17";"46417.0E0";"EUR";"38.0E0"
"10709";"2007-12-15 00:00:00.000000000";"OBERBOERSCHG";"2400";"2401";"10";"Pump PRECISION 102";"57200.0E0";"EUR";"22.0E0"
"10710";"2007-12-15 00:00:00.000000000";"OBERBOERSCHG";"2400";"2401";"10";"Pump PRECISION 103";"51000.0E0";"EUR";"17.0E0"
"10711";"2007-12-15 00:00:00.000000000";"OBERBOERSCHG";"2400";"2401";"10";"Pump PRECISION 104";"76250.0E0";"EUR";"25.0E0"
"10712";"2007-12-15 00:00:00.000000000";"OBERBOERSCHG";"2400";"2402";"10";"Pump PRECISION 102";"54600.0E0";"EUR";"21.0E0"
"10713";"2007-12-15 00:00:00.000000000";"OBERBOERSCHG";"2400";"2402";"10";"Pump PRECISION 103";"45000.0E0";"EUR";"15.0E0"
"10714";"2007-12-15 00:00:00.000000000";"OBERBOERSCHG";"2400";"2402";"10";"Pump PRECISION 104";"82350.0E0";"EUR";"27.0E0"
"10715";"2007-12-15 00:00:00.000000000";"OBERBOERSCHG";"2500";"2502";"10";"Pump PRECISION 102";"60000.0E0";"EUR";"20.0E0"
"10716";"2007-12-15 00:00:00.000000000";"OBERBOERSCHG";"2500";"2502";"10";"Pump PRECISION 103";"54400.0E0";"EUR";"16.0E0"
"10717";"2007-12-15 00:00:00.000000000";"OBERBOERSCHG";"2500";"2502";"10";"Pump PRECISION 104";"100050.0E0";"EUR";"29.0E0"
"10718";"2007-12-15 00:00:00.000000000";"OBERBOERSCHG";"2500";"2503";"10";"Pump PRECISION 102";"90000.0E0";"EUR";"30.0E0"
"10719";"2007-12-15 00:00:00.000000000";"OBERBOERSCHG";"2500";"2503";"10";"Pump PRECISION 103";"74800.0E0";"EUR";"22.0E0"
"10720";"2007-12-15 00:00:00.000000000";"OBERBOERSCHG";"2500";"2503";"10";"Pump PRECISION 104";"127650.0E0";"EUR";"37.0E0"
"10721";"2007-12-16 00:00:00.000000000";"MAASSBERG";"1000";"1321";"10";"Pumpe PRECISION 104";"78554.2E0";"EUR";"23.0E0"
"10721";"2007-12-16 00:00:00.000000000";"MAASSBERG";"1000";"1321";"20";"Pumpe Standard IDESNORM 100-402";"194309.4E0";"EUR";"61.0E0"
"10721";"2007-12-16 00:00:00.000000000";"MAASSBERG";"1000";"1321";"30";"Pumpe PRECISION 102";"66816.2E0";"EUR";"22.0E0"
"10721";"2007-12-16 00:00:00.000000000";"MAASSBERG";"1000";"1321";"40";"Pumpe PRECISION 103";"89731.8E0";"EUR";"27.0E0"
"10722";"2007-12-16 00:00:00.000000000";"MAASSBERG";"1000";"1320";"10";"Pumpe PRECISION 101";"99130.4E0";"EUR";"37.0E0"
"10724";"2007-12-21 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";""PAQ Bildschirm, 20"", Farbe"";"4928.8E0";"EUR";"4.0E0"
"10725";"2007-12-21 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";""PAQ Bildschirm, 20"", Farbe"";"22179.6E0";"EUR";"18.0E0"
"10728";"2007-12-22 00:00:00.000000000";"MAASSBERG";"1000";"1172";"10";""TFT Bildschirm, 17""1"";"2597.2E0";"EUR";"4.0E0"
"10729";"2007-12-22 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";""TFT Bildschirm, 17""1"";"14933.9E0";"EUR";"23.0E0"
"10735";"2008-01-05 00:00:00.000000000";"MMUELLER";"1000";"1033";"10";"Gluehlampe 60 Watt klar 220/235V";"30.14E0";"EUR";"80.0E0"
"10736";"2008-01-05 00:00:00.000000000";"MMUELLER";"1000";"1033";"10";"Gluehlampe 60 Watt klar 220/235V";"3.77E0";"EUR";"10.0E0"
"10737";"2008-01-05 00:00:00.000000000";"MMUELLER";"1000";"1300";"10";"Gluehlampe 80 Watt klar 220/235V";"19.66E0";"EUR";"50.0E0"
"10738";"2008-01-05 00:00:00.000000000";"MMUELLER";"1000";"1460";"10";"CD-ROM Laufwerk";"1120.5E0";"EUR";"15.0E0"
"10739";"2008-01-05 00:00:00.000000000";"MMUELLER";"1000";"1001";"10";"Gluehlampe 60 Watt klar 220/235V";"26.38E0";"EUR";"70.0E0"
"10740";"2008-01-05 00:00:00.000000000";"MMUELLER";"1000";"1002";"10";"Gluehlampe 80 Watt klar 220/235V";"31.46E0";"EUR";"80.0E0"
"10741";"2008-01-05 00:00:00.000000000";"MMUELLER";"1000";"1174";"10";"Flatscreen LE 64P";"1100.0E0";"EUR";"1.0E0"
"10742";"2008-01-05 00:00:00.000000000";"MMUELLER";"1000";"1174";"10";"Flatscreen LE 64P";"48400.0E0";"EUR";"44.0E0"
"10743";"2008-01-05 00:00:00.000000000";"MMUELLER";"1000";"1175";"10";"Flatscreen MS 1575P";"55000.0E0";"EUR";"44.0E0"
"10744";"2008-01-05 00:00:00.000000000";"MMUELLER";"1000";"1175";"10";"Flatscreen MS 1575P";"1250.0E0";"EUR";"1.0E0"
"10745";"2008-01-18 00:00:00.000000000";"SCHULZET";"1000";"1250";"10";"Vanilla Ice Cream - Premium Brand";"500.0E0";"EUR";"100.0E0"
"10746";"2008-01-18 00:00:00.000000000";"OBERBOERSCHG";"2400";"2401";"10";"Pump PRECISION 102";"59800.0E0";"EUR";"23.0E0"
"10747";"2008-01-18 00:00:00.000000000";"OBERBOERSCHG";"2400";"2401";"10";"Pump PRECISION 103";"57000.0E0";"EUR";"19.0E0"
"10748";"2008-01-18 00:00:00.000000000";"OBERBOERSCHG";"2400";"2401";"10";"Pump PRECISION 104";"76250.0E0";"EUR";"25.0E0"
"10749";"2008-01-18 00:00:00.000000000";"OBERBOERSCHG";"2400";"2402";"10";"Pump PRECISION 102";"57200.0E0";"EUR";"22.0E0"
"10750";"2008-01-18 00:00:00.000000000";"OBERBOERSCHG";"2400";"2402";"10";"Pump PRECISION 103";"54000.0E0";"EUR";"18.0E0"
"10751";"2008-01-18 00:00:00.000000000";"OBERBOERSCHG";"2400";"2402";"10";"Pump PRECISION 104";"79300.0E0";"EUR";"26.0E0"
"10752";"2008-01-18 00:00:00.000000000";"OBERBOERSCHG";"2500";"2502";"10";"Pump PRECISION 102";"69000.0E0";"EUR";"23.0E0"
"10753";"2008-01-18 00:00:00.000000000";"OBERBOERSCHG";"2500";"2502";"10";"Pump PRECISION 103";"57800.0E0";"EUR";"17.0E0"
"10754";"2008-01-18 00:00:00.000000000";"OBERBOERSCHG";"2500";"2502";"10";"Pump PRECISION 104";"82800.0E0";"EUR";"24.0E0"
"10755";"2008-01-18 00:00:00.000000000";"OBERBOERSCHG";"2500";"2503";"10";"Pump PRECISION 102";"96000.0E0";"EUR";"32.0E0"
"10756";"2008-01-18 00:00:00.000000000";"OBERBOERSCHG";"2500";"2503";"10";"Pump PRECISION 103";"78200.0E0";"EUR";"23.0E0"
"10757";"2008-01-18 00:00:00.000000000";"OBERBOERSCHG";"2500";"2503";"10";"Pump PRECISION 104";"117300.0E0";"EUR";"34.0E0"
"10765";"2008-01-21 00:00:00.000000000";"ZEPP";"1000";"1000";"10";"Aufzug Modell 1002";"300000.0E0";"EUR";"1.0E0"
"10782";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";"Tastatur Profesional - Modell NATURAL";"23512.2E0";"EUR";"263.0E0"
"10782";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"2130";"20";"Festplatte 10.80 GB / SCSI-2-Fast";"75106.0E0";"EUR";"340.0E0"
"10782";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"2130";"30";"SIM-Modul 4M x 36, 70 ns";"5992.0E0";"EUR";"112.0E0"
"10782";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"2130";"40";"Tastatur Standard - Modell EURO";"24579.5E0";"EUR";"410.0E0"
"10783";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"2300";"10";"Motorradhelm - Standard";"97200.0E0";"EUR";"324.0E0"
"10783";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"2300";"20";""Scheinwerfer ""Deluxe"""";"42540.0E0";"EUR";"709.0E0"
"10784";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";"Flatscreen LE 50 P";"5398.8E0";"EUR";"12.0E0"
"10784";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"1460";"20";"MAG DX 17F";"10767.9E0";"EUR";"13.0E0"
"10784";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"1460";"30";"Jotachi SN4000";"20185.2E0";"EUR";"14.0E0"
"10784";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"1460";"40";"Sunny Sunny 01";"6013.0E0";"EUR";"7.0E0"
"10785";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"1172";"10";"Flatscreen MS 1585";"10823.4E0";"EUR";"9.0E0"
"10786";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"2140";"10";"Sunny Sunny 01";"36669.6E0";"EUR";"44.0E0"
"10786";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"2140";"20";"MAG DX 17F";"36528.4E0";"EUR";"47.0E0"
"10786";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"2140";"30";"Flatscreen MS 1585";"55267.2E0";"EUR";"48.0E0"
"10786";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"2140";"40";"Flatscreen LE 50 P";"15325.4E0";"EUR";"37.0E0"
"10787";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"1033";"10";"Jotachi SN4000";"72581.6E0";"EUR";"52.0E0"
"10788";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"1172";"10";"SIM-Modul M8M x 32, 128MB  DDR-RAM";"9700.8E0";"EUR";"129.0E0"
"10788";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"1172";"20";"Tastatur Standard - Modell EURO-Special";"22547.85E0";"EUR";"403.0E0"
"10788";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"1172";"30";"Festplatte 21.49 GB / SCSI-2-Fast";"52809.2E0";"EUR";"188.0E0"
"10788";"2008-01-27 00:00:00.000000000";"MAASSBERG";"1000";"1172";"40";"Prozessor  700  MHz";"20431.4E0";"EUR";"74.0E0"
"10789";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1900";"10";""R³cklicht ""Deluxe"""";"12780.0E0";"EUR";"426.0E0"
"10790";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1360";"10";"Flatscreen MS 1775P";"16471.0E0";"EUR";"13.0E0"
"10790";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1360";"20";"Flatscreen MS 1460 P";"11167.0E0";"EUR";"13.0E0"
"10790";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1360";"30";"MAG PA/DX 175";"12161.8E0";"EUR";"14.0E0"
"10790";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1360";"40";"Sunny Xa1";"6864.9E0";"EUR";"7.0E0"
"10791";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";"Jotachi SN4500";"13659.1E0";"EUR";"19.0E0"
"10792";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2200";"10";"Flatscreen MS 1775P";"55269.0E0";"EUR";"46.0E0"
"10792";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2200";"20";"MAG PA/DX 175";"42515.2E0";"EUR";"52.0E0"
"10792";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2200";"30";"Flatscreen MS 1460 P";"70000.0E0";"EUR";"50.0E0"
"10792";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2200";"40";"Sunny Xa1";"45369.1E0";"EUR";"47.0E0"
"10793";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2004";"10";"Jotachi SN4500";"33874.2E0";"EUR";"51.0E0"
"10794";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2007";"10";"Prozessor  500 MHz";"31760.4E0";"EUR";"199.0E0"
"10794";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2007";"20";"Festplatte 42.94 GB / SCSI-2-Fast";"30399.6E0";"EUR";"98.0E0"
"10794";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2007";"30";"Tastatur Professional - Modell PROFITEC";"21255.0E0";"EUR";"327.0E0"
"10794";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2007";"40";"SIM-Modul 256 MB 16M x 32, 70 ns";"12530.4E0";"EUR";"92.0E0"
"10795";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1901";"10";"SunFun / 1200 cm3";"1040085.0E0";"USD";"58.0E0"
"10796";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2007";"10";"Flatscreen LE 64P";"13619.2E0";"EUR";"19.0E0"
"10796";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2007";"20";"Sunny Tetral3";"7559.2E0";"EUR";"8.0E0"
"10796";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2007";"30";"SEC Multisync XV15";"14237.6E0";"EUR";"13.0E0"
"10796";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2007";"40";"Jotachi SN5000";"16408.4E0";"EUR";"19.0E0"
"10797";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";"Flatscreen MS 1785P";"22876.9E0";"EUR";"17.0E0"
"10798";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2140";"10";"Flatscreen LE 64P";"34100.0E0";"EUR";"31.0E0"
"10798";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2140";"20";"Flatscreen MS 1785P";"69101.4E0";"EUR";"53.0E0"
"10798";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2140";"30";"Jotachi SN5000";"40726.8E0";"EUR";"54.0E0"
"10798";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2140";"40";"SEC Multisync XV15";"43612.8E0";"EUR";"42.0E0"
"10799";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2004";"10";"Sunny Tetral3";"48647.5E0";"EUR";"55.0E0"
"10800";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1360";"10";"Tastatur Professional - Modell MAXITEC";"22137.9E0";"EUR";"327.0E0"
"10800";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1360";"20";"SIM-Modul 8M x 36, 70 ns";"6124.8E0";"EUR";"64.0E0"
"10800";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1360";"30";"Festplatte 21.13 GB /  ATA-2";"88523.6E0";"EUR";"341.0E0"
"10801";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1174";"10";"CrossFun / 350 cm3";"378000.0E0";"EUR";"54.0E0"
"10802";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";"Flatscreen MS 1575P";"8990.4E0";"EUR";"8.0E0"
"10802";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1460";"20";"SEC Multisync XV 17";"12956.0E0";"EUR";"10.0E0"
"10802";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1460";"30";"MAG DX 15F/Fe";"10236.2E0";"EUR";"13.0E0"
"10802";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1460";"40";"Jotachi SN 7000";"12455.8E0";"EUR";"14.0E0"
"10803";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1360";"10";"Sunny Extrem";"2033.0E0";"EUR";"2.0E0"
"10804";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2200";"10";"Jotachi SN 7000";"44150.4E0";"EUR";"54.0E0"
"10804";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2200";"20";"MAG DX 15F/Fe";"32142.5E0";"EUR";"43.0E0"
"10804";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2200";"30";"Flatscreen MS 1575P";"43750.0E0";"EUR";"35.0E0"
"10804";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2200";"40";"SEC Multisync XV 17";"56189.0E0";"EUR";"46.0E0"
"10805";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1033";"10";"Sunny Extrem";"59532.4E0";"EUR";"62.0E0"
"10806";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1321";"10";"Pumpe PRECISION 101";"115205.6E0";"EUR";"43.0E0"
"10806";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1321";"20";"Pumpe PRECISION 104";"92215.8E0";"EUR";"27.0E0"
"10806";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1321";"30";"Pumpe Standard IDESNORM 100-402";"226163.4E0";"EUR";"71.0E0"
"10806";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1321";"40";"Pumpe PRECISION 102";"78964.6E0";"EUR";"26.0E0"
"10807";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2000";"10";"Pumpe PRECISION 103";"106348.8E0";"EUR";"32.0E0"
"10808";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2007";"10";""PAQ Bildschirm, 20"", Farbe"";"6161.0E0";"EUR";"5.0E0"
"10809";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";""PAQ Bildschirm, 20"", Farbe"";"27108.4E0";"EUR";"22.0E0"
"10810";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"2130";"10";""TFT Bildschirm, 17""1"";"3246.5E0";"EUR";"5.0E0"
"10811";"2008-01-28 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";""TFT Bildschirm, 17""1"";"18180.4E0";"EUR";"28.0E0"
"10812";"2008-02-02 00:00:00.000000000";"MAASSBERG";"1000";"1460";"10";"Tastatur Standard - Modell EURO";"23020.8E0";"EUR";"384.0E0"
"10812";"2008-02-02 00:00:00.000000000";"MAASSBERG";"1000";"1460";"20";"Festplatte 10.80 GB / SCSI-2-Fast";"70246.2E0";"EUR";"318.0E0"
